INFO 2026-03-18 19:12:38,187 autoreload Watching for file changes with StatReloader
WARNING 2026-03-18 19:17:43,910 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-03-18 19:17:43,911 log Not Found: /static/admin/css/login.css
WARNING 2026-03-18 19:17:43,912 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:17:43,913 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:17:43,914 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:17:43,917 basehttp "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:17:43,918 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2026-03-18 19:18:15,862 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2026-03-18 19:18:15,877 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4178
WARNING 2026-03-18 19:18:15,932 log Not Found: /static/admin/css/base.css
WARNING 2026-03-18 19:18:15,933 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:15,938 log Not Found: /static/admin/css/dark_mode.css
WARNING 2026-03-18 19:18:15,941 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:18:15,944 log Not Found: /static/admin/js/theme.js
WARNING 2026-03-18 19:18:15,947 log Not Found: /static/admin/css/login.css
WARNING 2026-03-18 19:18:15,951 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:18:15,951 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:15,952 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:15,952 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:15,954 basehttp "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:15,954 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:15,966 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-03-18 19:18:15,969 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:18:15,969 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:15,970 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
INFO 2026-03-18 19:18:46,808 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-03-18 19:18:47,592 basehttp "GET /admin/ HTTP/1.1" 200 15563
WARNING 2026-03-18 19:18:47,639 log Not Found: /static/admin/css/base.css
WARNING 2026-03-18 19:18:47,640 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:47,645 log Not Found: /static/admin/css/dark_mode.css
WARNING 2026-03-18 19:18:47,648 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:18:47,650 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:18:47,654 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:18:47,657 log Not Found: /static/admin/js/theme.js
WARNING 2026-03-18 19:18:47,659 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:47,661 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:47,665 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:47,665 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:47,665 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:47,677 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:18:47,679 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:18:47,681 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-03-18 19:18:47,682 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:18:47,683 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:47,684 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:47,684 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:18:47,686 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2026-03-18 19:19:02,161 basehttp "GET /admin/ HTTP/1.1" 200 15563
WARNING 2026-03-18 19:19:02,285 log Not Found: /static/admin/css/base.css
WARNING 2026-03-18 19:19:02,339 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:19:02,329 log Not Found: /static/admin/js/theme.js
WARNING 2026-03-18 19:19:02,287 log Not Found: /static/admin/css/dark_mode.css
WARNING 2026-03-18 19:19:02,302 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:19:02,364 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:19:02,364 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:19:02,455 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:19:02,477 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:19:02,489 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:19:02,514 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:19:02,547 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:19:02,570 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-03-18 19:19:02,582 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:19:02,586 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:19:02,588 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2026-03-18 19:21:16,905 basehttp "GET /admin/ HTTP/1.1" 200 15563
WARNING 2026-03-18 19:21:16,950 log Not Found: /static/admin/css/base.css
WARNING 2026-03-18 19:21:16,953 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:21:16,957 log Not Found: /static/admin/css/dark_mode.css
WARNING 2026-03-18 19:21:16,962 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:21:16,967 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:21:16,969 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:21:16,971 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:21:16,973 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:21:16,977 log Not Found: /static/admin/js/theme.js
WARNING 2026-03-18 19:21:16,978 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:21:16,979 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:21:16,980 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
INFO 2026-03-18 19:21:16,982 basehttp - Broken pipe from ('127.0.0.1', 49786)
WARNING 2026-03-18 19:21:16,994 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:21:16,996 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:21:16,999 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:21:17,001 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-03-18 19:21:17,002 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:21:17,003 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:21:17,004 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:21:17,004 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:21:21,948 log Not Found: /
WARNING 2026-03-18 19:21:21,949 basehttp "GET / HTTP/1.1" 404 179
INFO 2026-03-18 19:21:24,677 basehttp "GET /admin/ HTTP/1.1" 200 15563
WARNING 2026-03-18 19:21:24,724 log Not Found: /static/admin/css/dark_mode.css
WARNING 2026-03-18 19:21:24,729 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:21:24,731 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:21:24,733 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
INFO 2026-03-18 19:32:59,350 basehttp "GET /admin/ HTTP/1.1" 200 15563
WARNING 2026-03-18 19:32:59,435 log Not Found: /static/admin/css/dark_mode.css
WARNING 2026-03-18 19:32:59,440 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:32:59,468 log Not Found: /static/admin/css/base.css
WARNING 2026-03-18 19:32:59,505 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:32:59,505 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:32:59,526 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:32:59,545 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:32:59,549 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:32:59,549 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:32:59,549 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:32:59,576 log Not Found: /static/admin/js/theme.js
WARNING 2026-03-18 19:32:59,579 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-03-18 19:32:59,585 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:32:59,588 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:32:59,593 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:32:59,593 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:32:59,598 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:32:59,603 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:32:59,603 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:32:59,608 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2026-03-18 19:39:27,893 autoreload Watching for file changes with StatReloader
INFO 2026-03-18 19:39:30,711 basehttp "GET /admin/ HTTP/1.1" 200 15563
WARNING 2026-03-18 19:39:30,754 log Not Found: /static/admin/css/base.css
WARNING 2026-03-18 19:39:30,757 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:30,760 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:39:30,761 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:30,768 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:39:30,774 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:39:30,776 log Not Found: /static/admin/css/dark_mode.css
WARNING 2026-03-18 19:39:30,778 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:30,778 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:30,778 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:30,788 log Not Found: /static/admin/js/theme.js
WARNING 2026-03-18 19:39:30,790 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:30,807 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-03-18 19:39:30,810 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:39:30,812 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:39:30,814 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:39:30,814 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:30,815 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:30,816 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:30,825 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2026-03-18 19:39:30,958 basehttp "GET /admin/ HTTP/1.1" 200 15563
WARNING 2026-03-18 19:39:31,031 log Not Found: /static/admin/css/base.css
WARNING 2026-03-18 19:39:31,034 log Not Found: /static/admin/css/dark_mode.css
WARNING 2026-03-18 19:39:31,036 log Not Found: /static/admin/js/theme.js
WARNING 2026-03-18 19:39:31,038 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:39:31,041 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:39:31,042 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:39:31,044 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:31,044 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:31,045 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:31,045 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:31,046 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:31,047 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:31,066 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:39:31,068 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-03-18 19:39:31,071 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:31,071 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
INFO 2026-03-18 19:39:35,040 basehttp "GET /admin/ HTTP/1.1" 200 15563
WARNING 2026-03-18 19:39:35,086 log Not Found: /static/admin/css/base.css
WARNING 2026-03-18 19:39:35,088 log Not Found: /static/admin/css/dark_mode.css
WARNING 2026-03-18 19:39:35,089 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:39:35,091 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:39:35,093 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:39:35,095 log Not Found: /static/admin/js/theme.js
WARNING 2026-03-18 19:39:35,096 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:35,097 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:35,098 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:35,108 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:35,109 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:35,111 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:35,126 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:39:35,128 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:39:35,130 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-03-18 19:39:35,133 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:39:35,134 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:35,136 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:35,138 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:35,139 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
INFO 2026-03-18 19:39:36,192 basehttp "GET /admin/ HTTP/1.1" 200 15563
WARNING 2026-03-18 19:39:36,234 log Not Found: /static/admin/css/base.css
WARNING 2026-03-18 19:39:36,238 log Not Found: /static/admin/css/dark_mode.css
WARNING 2026-03-18 19:39:36,239 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:36,241 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:39:36,244 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:39:36,245 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:39:36,247 log Not Found: /static/admin/js/theme.js
WARNING 2026-03-18 19:39:36,249 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:36,256 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:36,256 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:36,257 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:36,259 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:36,268 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-03-18 19:39:36,273 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:39:36,275 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:39:36,277 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:39:36,278 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:36,279 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:36,279 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:39:36,289 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2026-03-18 19:42:31,045 autoreload C:\Users\Eze Christian\Downloads\Payuee Escrow E-commerce\backend\gadgethub\settings.py changed, reloading.
INFO 2026-03-18 19:42:32,327 autoreload Watching for file changes with StatReloader
INFO 2026-03-18 19:42:57,709 autoreload C:\Users\Eze Christian\Downloads\Payuee Escrow E-commerce\backend\gadgethub\settings.py changed, reloading.
INFO 2026-03-18 19:44:51,287 autoreload Watching for file changes with StatReloader
INFO 2026-03-18 19:44:57,195 basehttp "GET /admin/ HTTP/1.1" 200 15563
WARNING 2026-03-18 19:44:57,241 log Not Found: /static/admin/css/base.css
WARNING 2026-03-18 19:44:57,244 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:44:57,246 log Not Found: /static/admin/css/dark_mode.css
WARNING 2026-03-18 19:44:57,248 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:44:57,249 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:44:57,254 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:44:57,265 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:44:57,268 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:44:57,270 log Not Found: /static/admin/js/theme.js
WARNING 2026-03-18 19:44:57,271 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:44:57,271 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:44:57,271 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:44:57,298 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-03-18 19:44:57,302 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:44:57,303 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 19:44:57,305 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:44:57,309 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:44:57,312 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:44:57,315 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:44:57,316 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2026-03-18 20:02:51,418 basehttp "GET /admin/ HTTP/1.1" 200 15563
WARNING 2026-03-18 20:02:51,461 log Not Found: /static/admin/css/base.css
WARNING 2026-03-18 20:02:51,463 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-03-18 20:02:51,470 log Not Found: /static/admin/css/dark_mode.css
WARNING 2026-03-18 20:02:51,473 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 20:02:51,477 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 20:02:51,478 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 20:02:51,481 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-03-18 20:02:51,485 log Not Found: /static/admin/js/theme.js
WARNING 2026-03-18 20:02:51,486 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 20:02:51,490 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 20:02:51,491 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-03-18 20:02:51,493 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 20:02:51,507 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-03-18 20:02:51,510 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 20:02:51,514 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 20:02:51,518 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 20:02:51,518 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-03-18 20:02:51,519 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 20:02:51,520 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 20:02:51,521 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2026-03-18 20:08:03,312 basehttp "GET /admin/ HTTP/1.1" 200 15563
WARNING 2026-03-18 20:08:03,391 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 20:08:03,404 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 20:08:03,414 log Not Found: /static/admin/css/base.css
WARNING 2026-03-18 20:08:03,415 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 20:08:03,423 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 20:08:03,430 log Not Found: /static/admin/css/dark_mode.css
WARNING 2026-03-18 20:08:03,432 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-03-18 20:08:03,442 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 20:08:03,451 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-03-18 20:08:03,452 log Not Found: /static/admin/js/theme.js
WARNING 2026-03-18 20:08:03,466 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 20:08:03,473 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-03-18 20:08:03,498 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-03-18 20:08:03,504 log Not Found: /static/admin/css/dashboard.css
WARNING 2026-03-18 20:08:03,506 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 20:08:03,511 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 20:08:03,519 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-03-18 20:08:03,521 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-03-18 20:08:03,522 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 20:08:03,558 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
INFO 2026-03-18 21:13:21,734 basehttp "GET /api/products/categories/ HTTP/1.1" 200 52
INFO 2026-03-18 21:13:21,735 basehttp "GET /api/products/featured/ HTTP/1.1" 200 52
INFO 2026-03-18 21:13:21,739 basehttp "GET /api/products/categories/ HTTP/1.1" 200 52
INFO 2026-03-18 21:13:21,755 basehttp "GET /api/products/featured/ HTTP/1.1" 200 52
INFO 2026-03-18 21:13:24,342 basehttp "GET /api/products/featured/ HTTP/1.1" 200 52
INFO 2026-03-18 21:13:24,342 basehttp "GET /api/products/categories/ HTTP/1.1" 200 52
